name,type,category,power,accuracy,pp,effect
Magma Storm,Fire,Special,100,75,5,"Traps opponent, damaging them for 4-5 turns."
Magnet Bomb,Steel,Physical,60,?,20,Ignores Accuracy and Evasiveness.
Magnet Rise,Electric,Status,,,10,User becomes immune to Ground-type moves for 5 turns.
Me First,Normal,Status,,,20,User copies the opponent's attack with 1.5× power.
Metal Burst,Steel,Physical,,100,10,Deals damage equal to 1.5x opponent's attack.
Miracle Eye,Psychic,Status,,,40,"Resets opponent's Evasiveness, removes Dark's Psychic immunity."
Mirror Shot,Steel,Special,65,85,10,May lower opponent's Accuracy.
Mud Bomb,Ground,Special,65,85,10,May lower opponent's Accuracy.
Nasty Plot,Dark,Status,,,20,Sharply raises user's Special Attack.
Natural Gift,Normal,Physical,,100,15,Power and type depend on the user's held berry.
Night Slash,Dark,Physical,70,100,15,High critical hit ratio.
Ominous Wind,Ghost,Special,60,100,5,May raise all user's stats at once.
Payback,Dark,Physical,50,100,10,Power doubles if the user was attacked first.
Pluck,Flying,Physical,60,100,20,"If the opponent is holding a berry, its effect is stolen by user."
Poison Jab,Poison,Physical,80,100,20,May poison the opponent.
Power Gem,Rock,Special,80,100,20,
Power Swap,Psychic,Status,,,10,User and opponent swap Attack and Special Attack.
Power Trick,Psychic,Status,,,10,User's own Attack and Defense switch.
Power Whip,Grass,Physical,120,85,10,
Psycho Cut,Psychic,Physical,70,100,20,High critical hit ratio.
Psycho Shift,Psychic,Status,,100,10,Transfers user's status condition to the opponent.
Punishment,Dark,Physical,,100,5,Power increases when opponent's stats have been raised.
Roar of Time,Dragon,Special,150,90,5,User must recharge next turn.
Rock Climb,Normal,Physical,90,85,20,May confuse opponent.
Rock Polish,Rock,Status,,,20,Sharply raises user's Speed.
Rock Wrecker,Rock,Physical,150,90,5,User must recharge next turn.
Roost,Flying,Status,,,10,User recovers half of its max HP and loses the Flying type temporarily.
Seed Bomb,Grass,Physical,80,100,15,
Seed Flare,Grass,Special,120,85,5,May lower opponent's Special Defense.
Shadow Claw,Ghost,Physical,70,100,15,High critical hit ratio.
Shadow Force,Ghost,Physical,120,100,5,"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
Shadow Sneak,Ghost,Physical,40,100,30,User attacks first.
Spacial Rend,Dragon,Special,100,95,5,High critical hit ratio.
Stealth Rock,Rock,Status,,,20,Damages opponent switching into battle.
Stone Edge,Rock,Physical,100,80,5,High critical hit ratio.
Sucker Punch,Dark,Physical,70,100,5,"User attacks first, but only works if opponent is readying an attack."
Switcheroo,Dark,Status,,100,10,Swaps held items with the opponent.
Tailwind,Flying,Status,,,15,Doubles Speed for 4 turns.
Thunder Fang,Electric,Physical,65,95,15,May cause flinching and/or paralyze opponent.
Toxic Spikes,Poison,Status,,,20,Poisons opponents when they switch into battle.
Trick Room,Psychic,Status,,,5,Slower Pokémon move first in the turn for 5 turns.
Trump Card,Normal,Special,,?,5,"The lower the PP, the higher the power."
U-turn,Bug,Physical,70,100,20,User switches out immediately after attacking.
Vacuum Wave,Fighting,Special,40,100,30,User attacks first.
Wake-Up Slap,Fighting,Physical,70,100,10,"Power doubles if opponent is asleep, but wakes it up."
Wood Hammer,Grass,Physical,120,100,15,User receives recoil damage.
Worry Seed,Grass,Status,,100,10,Changes the opponent's Ability to Insomnia.
Wring Out,Normal,Special,,100,5,"The higher the opponent's HP, the higher the damage."
X-Scissor,Bug,Physical,80,100,15,
Zen Headbutt,Psychic,Physical,80,90,15,May cause flinching.
Acid Spray,Poison,Special,40,100,20,Sharply lowers opponent's Special Defense.
Acrobatics,Flying,Physical,55,100,15,Stronger when the user does not have a held item.
After You,Normal,Status,,,15,Gives target priority in the next turn.
Ally Switch,Psychic,Status,,,15,User switches with opposite teammate.
Autotomize,Steel,Status,,,15,Reduces weight and sharply raises Speed.
Bestow,Normal,Status,,,15,Gives the user's held item to the target.
Blue Flare,Fire,Special,130,85,5,May burn opponent.
Bolt Strike,Electric,Physical,130,85,5,May paralyze opponent.
Bulldoze,Ground,Physical,60,100,20,Lowers opponent's Speed.
Chip Away,Normal,Physical,70,100,20,Ignores opponent's stat changes.
Circle Throw,Fighting,Physical,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs."
Clear Smog,Poison,Special,50,,15,Removes all of the target's stat changes.
Coil,Poison,Status,,,20,"Raises user's Attack, Defense and Accuracy."
Cotton Guard,Grass,Status,,,10,Drastically raises user's Defense.
Dragon Tail,Dragon,Physical,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs."
Drill Run,Ground,Physical,80,95,10,High critical hit ratio.
Dual Chop,Dragon,Physical,40,90,15,Hits twice in one turn.
Echoed Voice,Normal,Special,40,100,15,Power increases each turn.
Electro Ball,Electric,Special,,100,10,"The faster the user, the stronger the attack."
Electroweb,Electric,Special,55,95,15,Lowers opponent's Speed.
Entrainment,Normal,Status,,100,15,Makes target's ability same as user's.
Fiery Dance,Fire,Special,80,100,10,May raise user's Special Attack.
Final Gambit,Fighting,Special,,100,5,Inflicts damage equal to the user's remaining HP. User faints.
Fire Pledge,Fire,Special,80,100,10,Added effects appear if combined with Grass Pledge or Water Pledge.
Flame Burst,Fire,Special,70,100,15,May also injure nearby Pokémon.
Flame Charge,Fire,Physical,50,100,20,Raises user's Speed.
Foul Play,Dark,Physical,95,100,15,Uses the opponent's Attack stat.
Freeze Shock,Ice,Physical,140,90,5,"Charges on first turn, attacks on second. May paralyze opponent."
Frost Breath,Ice,Special,60,90,10,Always results in a critical hit.
Fusion Bolt,Electric,Physical,100,100,5,Power increases if Fusion Flare is used in the same turn.
Fusion Flare,Fire,Special,100,100,5,Power increases if Fusion Bolt is used in the same turn.
Gear Grind,Steel,Physical,50,85,15,Hits twice in one turn.
Glaciate,Ice,Special,65,95,10,Lowers opponent's Speed.
Grass Pledge,Grass,Special,80,100,10,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.
Guard Split,Psychic,Status,,,10,Averages Defense and Special Defense with the target.
Head Charge,Normal,Physical,120,100,15,User receives recoil damage.
Heal Pulse,Psychic,Status,,,10,Restores half the target's max HP.
Heart Stamp,Psychic,Physical,60,100,25,May cause flinching.
Heat Crash,Fire,Physical,,100,10,"The heavier the user, the stronger the attack."
Heavy Slam,Steel,Physical,,100,10,"The heavier the user, the stronger the attack."
Hex,Ghost,Special,65,100,10,Inflicts more damage if the target has a status condition.
Hone Claws,Dark,Status,,,15,Raises user's Attack and Accuracy.
Horn Leech,Grass,Physical,75,100,10,User recovers half the HP inflicted on opponent.
Hurricane,Flying,Special,110,70,10,May confuse opponent.
Ice Burn,Ice,Special,140,90,5,"Charges on first turn, attacks on second. May burn opponent."
Icicle Crash,Ice,Physical,85,90,10,May cause flinching.
Incinerate,Fire,Special,60,100,15,Destroys the target's held berry.
Inferno,Fire,Special,100,50,5,Burns opponent.
Leaf Tornado,Grass,Special,65,90,10,May lower opponent's Accuracy.
Low Sweep,Fighting,Physical,65,100,20,Lowers opponent's Speed.
Magic Room,Psychic,Status,,,10,Suppresses the effects of held items for five turns.
Night Daze,Dark,Special,85,95,10,May lower opponent's Accuracy.
Power Split,Psychic,Status,,,10,Averages Attack and Special Attack with the target.
Psyshock,Psychic,Special,80,100,10,"Inflicts damage based on the target's Defense, not Special Defense."
Psystrike,Psychic,Special,100,100,10,"Inflicts damage based on the target's Defense, not Special Defense."
Quash,Dark,Status,,100,15,Makes the target act last this turn.
Quick Guard,Fighting,Status,,,15,Protects the user's team from high-priority moves.
Quiver Dance,Bug,Status,,,20,"Raises user's Special Attack, Special Defense and Speed."
Rage Powder,Bug,Status,,,20,"Forces attacks to hit user, not team-mates."
Razor Shell,Water,Physical,75,95,10,May lower opponent's Defense.
Reflect Type,Normal,Status,,,15,User becomes the target's type.
Relic Song,Normal,Special,75,100,10,May put the target to sleep.
Retaliate,Normal,Physical,70,100,5,Inflicts double damage if a teammate fainted on the last turn.
Round,Normal,Special,60,100,15,Power increases if teammates use it in the same turn.
Sacred Sword,Fighting,Physical,90,100,15,Ignores opponent's stat changes.
Scald,Water,Special,80,100,15,May burn opponent.
Searing Shot,Fire,Special,100,100,5,May burn opponent.
Secret Sword,Fighting,Special,85,100,10,"Inflicts damage based on the target's Defense, not Special Defense."
Shell Smash,Normal,Status,,,15,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense."
Shift Gear,Steel,Status,,,10,Raises user's Attack and sharply raises Speed.
Simple Beam,Normal,Status,,100,15,Changes target's ability to Simple.
Sky Drop,Flying,Physical,60,100,10,"Takes opponent into the air on first turn, drops them on second turn."
Sludge Wave,Poison,Special,95,100,10,May poison opponent.
Smack Down,Rock,Physical,50,100,15,Makes Flying-type Pokémon vulnerable to Ground moves.
Snarl,Dark,Special,55,95,15,Lowers opponent's Special Attack.
Soak,Water,Status,,100,20,Changes the target's type to water.
Steamroller,Bug,Physical,65,100,20,May cause flinching.
Stored Power,Psychic,Special,20,100,10,Power increases when user's stats have been raised.
Storm Throw,Fighting,Physical,60,100,10,Always results in a critical hit.
Struggle Bug,Bug,Special,50,100,20,Lowers opponent's Special Attack.
Synchronoise,Psychic,Special,120,100,10,Hits any Pokémon that shares a type with the user.
Tail Slap,Normal,Physical,25,85,10,Hits 2-5 times in one turn.
Techno Blast,Normal,Special,120,100,5,Type depends on the Drive being held.
Telekinesis,Psychic,Status,,,15,"Ignores opponent's Evasiveness for three turns, add Ground immunity."
V-create,Fire,Physical,180,95,5,"Lowers user's Defense, Special Defense and Speed."
Venoshock,Poison,Special,65,100,10,Inflicts double damage if the target is poisoned.
Volt Switch,Electric,Special,70,100,20,User must switch out after attacking.
Water Pledge,Water,Special,80,100,10,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.
Wide Guard,Rock,Status,,,10,Protects the user's team from multi-target attacks.
Wild Charge,Electric,Physical,90,100,15,User receives recoil damage.
Wonder Room,Psychic,Status,,,10,Swaps every Pokémon's Defense and Special Defense for 5 turns.
Work Up,Normal,Status,,,30,Raises user's Attack and Special Attack.
Aromatic Mist,Fairy,Status,,,20,Raises Special Defense of an ally.
Baby-Doll Eyes,Fairy,Status,,100,30,Always goes first. Lowers the target's attack.
Belch,Poison,Special,120,90,10,User must have consumed a Berry.
Boomburst,Normal,Special,140,100,10,Hits all adjacent Pokémon.
Celebrate,Normal,Status,,,40,The Pokémon congratulates you on your special day. No battle effect.
Confide,Normal,Status,,,20,Lowers opponent's Special Attack.
Crafty Shield,Fairy,Status,,,10,Protects the Pokémon from status moves.
Dazzling Gleam,Fairy,Special,80,100,10,Hits all adjacent opponents.
Diamond Storm,Rock,Physical,100,95,5,May sharply raise user's Defense.
Disarming Voice,Fairy,Special,40,?,15,Ignores Accuracy and Evasiveness.
Dragon Ascent,Flying,Physical,120,100,5,Lowers user's Defense and Special Defense.
Draining Kiss,Fairy,Special,50,100,10,User recovers most the HP inflicted on opponent.
Eerie Impulse,Electric,Status,,100,15,Sharply lowers opponent's Special Attack.
Electric Terrain,Electric,Status,,,10,Prevents all Pokémon from falling asleep for 5 turns.
Electrify,Electric,Status,,,20,Changes the target's move to Electric type.
Fairy Lock,Fairy,Status,,,10,Prevents fleeing in the next turn.
Fairy Wind,Fairy,Special,40,100,30,
Fell Stinger,Bug,Physical,50,100,25,Drastically raises user's Attack if target is KO'd.
Flower Shield,Fairy,Status,,,10,Sharply raises Defense of all Grass-type Pokémon on the field.
Flying Press,Fighting,Physical,100,95,10,Deals Fighting and Flying type damage.
Forest's Curse,Grass,Status,,100,20,Adds Grass type to opponent.
Freeze-Dry,Ice,Special,70,100,20,May freeze opponent. Super-effective against Water types.
Geomancy,Fairy,Status,,,10,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second."
Grassy Terrain,Grass,Status,,,10,Restores a little HP of all Pokémon for 5 turns.
Happy Hour,Normal,Status,,,30,Doubles prize money from trainer battles.
Hold Back,Normal,Physical,40,100,40,Always leaves opponent with at least 1 HP.
Hold Hands,Normal,Status,,,40,Makes the user and an ally very happy.
Hyperspace Fury,Dark,Physical,100,?,5,Lowers user's Defense. Can strike through Protect/Detect.
Hyperspace Hole,Psychic,Special,80,?,5,Can strike through Protect/Detect.
Infestation,Bug,Special,20,100,20,"Traps opponent, damaging them for 4-5 turns."
Ion Deluge,Electric,Status,,,25,Changes Normal-type moves to Electric-type.
King's Shield,Steel,Status,,,10,Protects the user and lowers opponent's Attack on contact.
Land's Wrath,Ground,Physical,90,100,10,
Light of Ruin,Fairy,Special,140,90,5,User receives recoil damage.
Magnetic Flux,Electric,Status,,,20,Raises Defense and Sp. Defense of Plus/Minus Pokémon.
Mat Block,Fighting,Status,,,10,Protects teammates from damaging moves.
Misty Terrain,Fairy,Status,,,10,Protects the field from status conditions for 5 turns.
Moonblast,Fairy,Special,95,100,15,May lower opponent's Special Attack.
Mystical Fire,Fire,Special,75,100,10,Lowers opponent's Special Attack.
Noble Roar,Normal,Status,,100,30,Lowers opponent's Attack and Special Attack.
Nuzzle,Electric,Physical,20,100,20,Paralyzes opponent.
Oblivion Wing,Flying,Special,80,100,10,User recovers most of the HP inflicted on opponent.
Origin Pulse,Water,Special,110,85,10,Hits all adjacent opponents.
Parabolic Charge,Electric,Special,65,100,20,User recovers half the HP inflicted on opponent.
Parting Shot,Dark,Status,,100,20,Lowers opponent's Attack and Special Attack then switches out.
Petal Blizzard,Grass,Physical,90,100,15,Hits all adjacent Pokémon.
Phantom Force,Ghost,Physical,90,100,10,"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
Play Nice,Normal,Status,,,20,Lowers opponent's Attack. Always hits.
Play Rough,Fairy,Physical,90,90,10,May lower opponent's Attack.
Powder,Bug,Status,,100,20,Damages Pokémon using Fire type moves.
Power-Up Punch,Fighting,Physical,40,100,20,Raises Attack.
Precipice Blades,Ground,Physical,120,85,10,Hits all adjacent opponents.
Rototiller,Ground,Status,,,10,Raises Attack and Special Attack of Grass-types.
Spiky Shield,Grass,Status,,,10,Protects the user and inflicts damage on contact.
Steam Eruption,Water,Special,110,95,5,May burn opponent.
Sticky Web,Bug,Status,,,20,Lowers opponent's Speed when switching into battle.
Thousand Arrows,Ground,Physical,90,100,10,Makes Flying-type Pokémon vulnerable to Ground moves.
Thousand Waves,Ground,Physical,90,100,10,Opponent cannot flee or switch.
Topsy-Turvy,Dark,Status,,,20,Reverses stat changes of opponent.
Trick-or-Treat,Ghost,Status,,100,20,Adds Ghost type to opponent.
Venom Drench,Poison,Status,,100,20,Lowers poisoned opponent's Special Attack and Speed.
Water Shuriken,Water,Special,15,100,20,Hits 2-5 times in one turn.
"10,000,000 Volt Thunderbolt",Electric,Special,195,,1,Pikachu-exclusive Z-Move. High critical hit ratio.
Accelerock,Rock,Physical,40,100,20,User attacks first.
Acid Downpour,Poison,,,,1,Poison type Z-Move.
All-Out Pummeling,Fighting,,,,1,Fighting type Z-Move.
Anchor Shot,Steel,Physical,80,100,20,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
Aurora Veil,Ice,Status,,,20,Halves damage from Physical and Special attacks for five turns.
Baddy Bad,Dark,Special,90,100,15,Reduces damage from Physical attacks.
Baneful Bunker,Poison,Status,,,10,Protects the user and poisons opponent on contact.
Beak Blast,Flying,Physical,100,100,15,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn."
Black Hole Eclipse,Dark,,,,1,Dark type Z-Move.
Bloom Doom,Grass,,,,1,Grass type Z-Move.
Bouncy Bubble,Water,Special,90,100,15,User recovers half the HP inflicted on opponent.
Breakneck Blitz,Normal,,,,1,Normal type Z-Move.
Brutal Swing,Dark,Physical,60,100,20,The user swings its body around violently to inflict damage on everything in its vicinity.
Burn Up,Fire,Special,130,100,5,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type."
Buzzy Buzz,Electric,Special,90,100,15,Paralyzes the opponent.
Catastropika,Electric,Physical,210,,1,Pikachu-exclusive Z-Move.
Clanging Scales,Dragon,Special,110,100,5,Lowers user's Defense.
Clangorous Soulblaze,Dragon,Special,185,,1,Kommo-o exclusive Z-Move.
Continental Crush,Rock,,,,1,Rock type Z-Move.
Core Enforcer,Dragon,Special,100,100,10,Scorches a 'Z' pattern on the ground.
Corkscrew Crash,Steel,,,,1,Steel type Z-Move.
Darkest Lariat,Dark,Physical,85,100,10,Ignores opponent's stat changes.
Devastating Drake,Dragon,,,,1,Dragon type Z-Move.
Double Iron Bash,Steel,Physical,60,100,5,Hits twice in one turn; may cause flinching.
Dragon Hammer,Dragon,Physical,90,100,15,The user uses its body like a hammer to attack the target and inflict damage.
Extreme Evoboost,Normal,Status,,,1,Eevee-exclusive Z-Move. Sharply raises all stats.
Fire Lash,Fire,Physical,80,100,15,The user strikes the target with a burning lash. This also lowers the target's Defense stat.
First Impression,Bug,Physical,90,100,10,"Although this move has great power, it only works the first turn the user is in battle."
Fleur Cannon,Fairy,Special,130,90,5,Sharply lowers user's Special Attack.
Floaty Fall,Flying,Physical,90,95,15,May cause flinching.
Floral Healing,Fairy,Status,,,10,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.
Freezy Frost,Ice,Special,90,100,15,Resets all stat changes.
Gear Up,Steel,Status,,,20,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.
Genesis Supernova,Psychic,Special,185,,1,Mew-exclusive Z-Move.
Gigavolt Havoc,Electric,,,,1,Electric type Z-Move.
Glitzy Glow,Psychic,Special,90,100,15,Reduces damage from Special attacks.
Guardian of Alola,Fairy,Special,,,1,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.
High Horsepower,Ground,Physical,95,95,10,The user fiercely attacks the target using its entire body.
Hydro Vortex,Water,,,,1,Water type Z-Move.
Ice Hammer,Ice,Physical,100,90,10,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however."
Inferno Overdrive,Fire,,,,1,Fire type Z-Move.
Instruct,Psychic,Status,,,15,Allows an ally to use a move instead.
Laser Focus,Normal,Status,,,30,User's next attack is guaranteed to result in a critical hit.
Leafage,Grass,Physical,40,100,40,Strikes opponent with leaves.
Let's Snuggle Forever,Fairy,Physical,190,,1,Mimikyu-exclusive Z-Move.
Light That Burns the Sky,Psychic,Special,200,,1,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.
Liquidation,Water,Physical,85,100,10,May lower opponent's Defense.
Lunge,Bug,Physical,80,100,15,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat."
Malicious Moonsault,Dark,Physical,180,,1,Incineroar-exclusive Z-Move.
Menacing Moonraze Maelstrom,Ghost,Special,200,,1,Lunala-exclusive Z-Move.
Mind Blown,Fire,Special,150,100,5,User receives recoil damage.
Moongeist Beam,Ghost,Special,100,100,5,Ignores the target's ability.
Multi-Attack,Normal,Physical,120,100,10,Type matches Memory item held.
Nature's Madness,Fairy,Special,,90,10,Halves the foe's HP.
Never-Ending Nightmare,Ghost,,,,1,Ghost type Z-Move.
Oceanic Operetta,Water,Special,195,,1,Primarina-exclusive Z-Move.
Photon Geyser,Psychic,Special,100,100,5,"Uses Attack or Special Attack stat, whichever is higher."
Pika Papow,Electric,Special,,?,20,Power increases when player's bond is stronger.
Plasma Fists,Electric,Physical,100,100,15,Changes Normal-type moves to Electric-type moves.
Pollen Puff,Bug,Special,90,100,15,Deals damage to opponent or restores HP of teammate.
Power Trip,Dark,Physical,20,100,10,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power."
Prismatic Laser,Psychic,Special,160,100,10,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.
Psychic Fangs,Psychic,Physical,85,100,10,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.
Psychic Terrain,Psychic,Status,,,10,Prevents priority moves from being used for 5 turns.
Pulverizing Pancake,Normal,Physical,210,,1,Snorlax-exclusive Normal type Z-Move.
Purify,Poison,Status,,,20,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP."
Revelation Dance,Normal,Special,90,100,15,Type changes based on Oricorio's form.
Sappy Seed,Grass,Physical,90,100,15,Drains HP from opponent each turn.
Savage Spin-Out,Bug,,,,1,Bug type Z-Move.
Searing Sunraze Smash,Steel,Physical,200,,1,Solgaleo-exclusive Z-Move.
Shadow Bone,Ghost,Physical,85,100,10,May lower opponent's Defense.
Shattered Psyche,Psychic,,,,1,Psychic type Z-Move.
Shell Trap,Fire,Special,150,100,5,Deals more damage to opponent if hit by a Physical move.
Shore Up,Ground,Status,,,10,The user regains up to half of its max HP. It restores more HP in a sandstorm.
Sinister Arrow Raid,Ghost,Physical,180,,1,Decidueye-exclusive Z-Move.
Sizzly Slide,Fire,Physical,90,100,15,Burns the opponent.
Smart Strike,Steel,Physical,70,,10,The user stabs the target with a sharp horn. This attack never misses.
Solar Blade,Grass,Physical,125,100,10,"Charges on first turn, attacks on second."
Soul-Stealing 7-Star Strike,Ghost,Physical,195,,1,Marshadow-exclusive Z-Move.
Sparkling Aria,Water,Special,90,100,10,Heals the burns of its target.
Sparkly Swirl,Fairy,Special,90,100,15,Cures all status problems in the party Pokémon.
Spectral Thief,Ghost,Physical,90,100,10,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks."
Speed Swap,Psychic,Status,,,10,The user exchanges Speed stats with the target.
Spirit Shackle,Ghost,Physical,80,100,10,Prevents the opponent from switching out.
Splintered Stormshards,Rock,Physical,190,,1,Lycanroc-exclusive Z-Move.
Splishy Splash,Water,Special,90,100,15,May paralyze opponent.
Spotlight,Normal,Status,,,15,The user shines a spotlight on the target so that only the target will be attacked during the turn.
Stoked Sparksurfer,Electric,Special,175,,1,Alolan Raichu-exclusive Electric type Z-Move.
Stomping Tantrum,Ground,Physical,75,100,10,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles."
Strength Sap,Grass,Status,,100,10,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.
Subzero Slammer,Ice,,,,1,Ice type Z-Move.
Sunsteel Strike,Steel,Physical,100,100,5,Ignores the target's ability.
Supersonic Skystrike,Flying,,,,1,Flying type Z-Move.
Tearful Look,Normal,Status,,,20,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.
Tectonic Rage,Ground,,,,1,Ground type Z-Move.
Throat Chop,Dark,Physical,80,100,15,Prevents use of sound moves for two turns.
Toxic Thread,Poison,Status,,100,20,Lowers target's Speed.
Trop Kick,Grass,Physical,70,100,15,Lowers opponent's Attack.
Twinkle Tackle,Fairy,,,,1,Fairy type Z-Move.
Veevee Volley,Normal,Physical,,?,20,Power increases when player's bond is stronger.
Zing Zap,Electric,Physical,80,100,10,May cause flinching.
Zippy Zap,Electric,Physical,50,100,15,Always results in a critical hit.
Apple Acid,Grass,Special,80,100,10,Lowers target's Special Defense.
Aura Wheel,Electric,Physical,110,100,10,Changes type based on Morpeko's Mode.
Behemoth Bash,Steel,Physical,100,100,5,Damage doubles if user is Dynamaxed.
Behemoth Blade,Steel,Physical,100,100,5,Damage doubles if user is Dynamaxed.
Body Press,Fighting,Physical,80,100,10,"The higher the user's Defense, the stronger the attack."
Bolt Beak,Electric,Physical,85,100,10,"If the user attacks before the target, the power of this move is doubled."
Branch Poke,Grass,Physical,40,100,40,
Breaking Swipe,Dragon,Physical,60,100,15,Hits multiple opponents and lowers their attack.
Burning Jealousy,Fire,,,,,"Hits all opponents, and burns any that have had their stats boosted."
Clangorous Soul,Dragon,Status,,100,5,Raises all user's stats but loses HP.
Coaching,Fighting,Status,,,10,Boosts Attack and Defense of a teammate.
Corrosive Gas,Poison,Status,,100,40,Removes opponent's items.
Court Change,Normal,Status,,100,10,Swaps the effects on either side of the field.
Decorate,Fairy,Status,,,15,Sharply raises target's Attack and Special Attack.
Dragon Darts,Dragon,Physical,50,100,10,User attacks twice.
Dragon Energy,,,,,,"The higher the user's HP, the higher the power."
Drum Beating,Grass,Physical,80,100,10,Lowers opponent's Speed.
Dual Wingbeat,Flying,Physical,40,90,10,The user slams the target with its wings. The target is hit twice in a row.
Dynamax Cannon,Dragon,Special,100,100,5,Damage doubles if opponent is Dynamaxed.
Eternabeam,Dragon,Special,160,90,5,User can't move on the next turn.
Expanding Force,Psychic,Special,80,100,10,Increases power and hits all opponents on Psychic Terrain.
False Surrender,Dark,Physical,80,?,10,Ignores Accuracy and Evasiveness.
Fiery Wrath,Dark,Special,,,,May cause flinching.
Fishious Rend,Water,Physical,85,100,10,"If the user attacks before the target, the power of this move is doubled."
Flip Turn,Water,Physical,60,100,20,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
Freezing Glare,Psychic,Special,,,,May freeze opponent.
G-Max Befuddle,Bug,,,,,"Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep."
G-Max Cannonade,Water,,,,,Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.
G-Max Centiferno,Fire,,,,,Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.
G-Max Chi Strike,Fighting,,,,,Machamp-exclusive G-Max Move. Increases critical hit ratio.
G-Max Cuddle,Normal,,,,,Eevee-exclusive G-Max Move. Infatuates opponents.
G-Max Depletion,Dragon,,,,,Duraludon-exclusive G-Max Move. Reduces opponent's PP.
G-Max Drum Solo,Grass,,,,,Rillaboom-exclusive G-Max Move. Ignores target's ability.
G-Max Finale,Fairy,,,,,Alcremie-exclusive G-Max Move. Heals the user's team.
G-Max Fireball,Fire,,,,,Cinderace-exclusive G-Max Move. Ignores target's ability.
G-Max Foam Burst,Water,,,,,Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.
G-Max Gold Rush,Normal,,,,,Meowth-exclusive G-Max Move. Confuses opponents and earns more money.
G-Max Gravitas,Psychic,,,,,Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.
G-Max Hydrosnipe,Water,,,,,Inteleon-exclusive G-Max Move. Ignores target's ability.
G-Max Malodor,Poison,,,,,Garbodor-exclusive G-Max Move. Poisons opponents.
G-Max Meltdown,Steel,,,,,Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.
G-Max One Blow,Dark,,,,,Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.
G-Max Rapid Flow,Water,,,,,Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.
G-Max Replenish,Normal,,,,,Snorlax-exclusive G-Max Move. Recycles Berries.
G-Max Resonance,Ice,,,,,Lapras-exclusive G-Max Move. Reduces damage for 5 turns.
G-Max Sandblast,Ground,,,,,Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.
G-Max Smite,Fairy,,,,,Hatterene-exclusive G-Max Move. Confuses opponents.
G-Max Snooze,Dark,,,,,Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.
G-Max Steelsurge,Steel,,,,,Copperajah-exclusive G-Max Move. Sets up Spikes on the field.
G-Max Stonesurge,Water,,,,,Drednaw-exclusive G-Max Move. Sets up Stealth Rock.
G-Max Stun Shock,Electric,,,,,Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.
G-Max Sweetness,Grass,,,,,Appletun-exclusive G-Max Move. Heals status conditions of user's team.
G-Max Tartness,Grass,,,,,Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.
G-Max Terror,Ghost,,,,,Gengar-exclusive G-Max Move. Prevents opponent from switching out.
G-Max Vine Lash,Grass,,,,,Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.
G-Max Volcalith,Rock,,,,,Coalossal-exclusive G-Max Move. Deals damage for 4 turns.
G-Max Volt Crash,Electric,,,,,Pikachu-exclusive G-Max Move. Paralyzes opponents.
